Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
7N,NYMEX,Premium Unleaded Gasoline 10 ppm Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
7P,NYMEX,EuroBob Gasoline 10 ppm Barges FOB Rdam (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
BR7,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
9AV,NYMEX,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AA3,NYMEX,NYISO Zone C 5 MW Off-Peak Calendar-Month Day-Ahead LBMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AB7,NYMEX,Gasoil 0.1% Cargoes CIF NWE (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AD5,NYMEX,PJM Duquesne Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
E4L,NYMEX,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
F3,NYMEX,Jet Fuel Cargoes CIF NWE (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AF4,NYMEX,PJM Eastern Hub Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AH1,NYMEX,NY 3.0% Fuel Oil (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AHM,NYMEX,MISO Michigan Hub Real-Time Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
J4L,NYMEX,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
K4L,NYMEX,NYISO Zone A Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
L3L,NYMEX,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AML,NYMEX,New York Harbor Residual Fuel (Platts) Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AOJ,NYMEX,MISO Illinois Hub Off-Peak Calendar Month LMP 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AP2,NYMEX,ISO New England Connecticut Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AP3,NYMEX,ISO New England Connecticut Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
QP,NYMEX,Powder River Basin Coal (Platts OTC Broker Index) Futures,Energy,Coal,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AR6,NYMEX,ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ATY,NYMEX,ULSD 10ppm Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
U9,NYMEX,Low Sulphur Gasoil BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AUY,NYMEX,NY ULSD (Platts) vs. NY Harbor ULSD Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
YRP,NYMEX,ERCOT North 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
X6,NYMEX,Gasoil 0.1% Cargoes CIF MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
X7,NYMEX,ULSD 10ppm CIF MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AXB,NYMEX,WTI Midland (Argus) Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
NYT,NYMEX,NY 3.0% Fuel Oil (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
YF,NYMEX,NY Heating Oil (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HPE,NYMEX,HDPE High Density Polyethylene (PCW) Financial Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
A50,NYMEX,PJM PENELEC Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
63,NYMEX,3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AAH,NYMEX,Dubai Crude Oil (Platts) Average Price Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
EFF,NYMEX,European 3.5% Fuel Oil Cargoes FOB MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AU2,NYMEX,ISO New England New Hampshire Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
YHE,NYMEX,ERCOT Houston 345 kV Hub Day-Ahead 5 MW Peak Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GXB,NYMEX,European Low Sulphur Gasoil Calendar (2 month) Spread Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GXC,NYMEX,European Low Sulphur Gasoil Calendar (3 month) Spread Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GXZ,NYMEX,European Low Sulphur Gasoil Calendar (12 month) Spread Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
TCI,NYMEX,Freight Route TC5 (Platts) Average Price Option,Energy,Freight,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
TDT,NYMEX,Freight Route TD3C (Baltic) Average Price Option,Energy,Freight,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
VV,NYMEX,Gulf Coast ULSD (Platts) vs. Gulf Coast Jet (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
0A,NYMEX,Mini European 1% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
0E,NYMEX,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
1T,NYMEX,Jet Aviation Fuel Cargoes FOB MED (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
1ZA,NYMEX,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
29,NYMEX,Argus Sour Crude Index (ASCI) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
2C,NYMEX,Chicago CBOB Gasoline (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
2JW,NYMEX,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Day Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
36,NYMEX,Argus Sour Crude Index (ASCI) vs. WTI Diff Spread Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
A55,NYMEX,NYISO Zone E 5 MW Peak Calendar-Month Day-Ahead LBMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AM1,NYMEX,ERCOT South 345 kV Hub 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MO,NYMEX,Mars (Argus) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AN1,NYMEX,ERCOT West 345 kV Hub 5 MW Peak Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NBB,NYMEX,Naphtha Cargoes CIF NWE (Platts) Crack Spread (1000mt) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PPP,NYMEX,PP Polypropylene (PCW) Financial Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
88,NYMEX,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
8D,NYMEX,3.5% Fuel Oil CIF MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AA9,NYMEX,Group Three Sub-octane Gasoline (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
DCL,NYMEX,Daily WTI Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
UB4,CBOT,Ultra U.S. Treasury Bond Weekly Options - Week 4,Interest Rate,US Treasury,true,SUN-FRI: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
ZN4,CBOT,10-Year T-Note Weekly Options - Week 4,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
C03,NYMEX,Crude Oil Short-Term Option D03,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C11,NYMEX,Crude Oil Short-Term Option D11,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C13,NYMEX,Crude Oil Short-Term Option D13,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C14,NYMEX,Crude Oil Short-Term Option D14,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C15,NYMEX,Crude Oil Short-Term Option D15,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C16,NYMEX,Crude Oil Short-Term Option D16,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C19,NYMEX,Crude Oil Short-Term Option D19,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C23,NYMEX,Crude Oil Short-Term Option D23,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C29,NYMEX,Crude Oil Short-Term Option D29,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C30,NYMEX,Crude Oil Short-Term Option D30,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
U10,NYMEX,Natural Gas Short-Term Option D10,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
U16,NYMEX,Natural Gas Short-Term Option D16,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
U17,NYMEX,Natural Gas Short-Term Option D17,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZC5,CBOT,Corn Weekly Options - Week 5,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
ZS4,CBOT,Soybean Weekly Options - Week 4,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
ZW4,CBOT,Chicago SRW Wheat Weekly Options - Week 4,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
HOL,NYMEX,NY Harbor ULSD London Tradable Marker,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MGB,NYMEX,Mini Gasoil 0.1% Barges FOB ARA (Platts) vs. Low Sulphur Gasoil Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
FRS,NYMEX,Freight Route TC12 (Baltic) Futures,Energy,Freight,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PDL,NYMEX,MISO Indiana Hub Day-Ahead Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
STY,NYMEX,Singapore Fuel Oil 180 cst (Platts) 6.35 Dubai (Platts) Crack Spread BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZM3,CBOT,Soybean Meal Weekly Options - Week 3,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
ZL3,CBOT,Soybean Oil Weekly Options - Week 3,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
Z02,NYMEX,PJM West Hub 50 MW Same Day Option D02,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
Z06,NYMEX,PJM West Hub 50 MW Same Day Option D06,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
Z15,NYMEX,PJM West Hub 50 MW Same Day Option D15,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
Z25,NYMEX,PJM West Hub 50 MW Same Day Option D25,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
Z26,NYMEX,PJM West Hub 50 MW Same Day Option D26,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
Z31,NYMEX,PJM West Hub 50 MW Same Day Option D31,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AW4,NYMEX,PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NHH,NYMEX,NYISO NYC In-City Capacity Calendar-Month Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WCO,NYMEX,Western Canadian Select (WCS) Crude Oil Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NB9,NYMEX,PJM West Hub RT Real-Time 50 MW Off-Peak Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
HWA,NYMEX,MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
TC6,NYMEX,Freight Route TC6 (Baltic) Futures,Energy,Freight,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ASD,NYMEX,Singapore Jet Kerosene (Platts) Dubai (Platts) Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
7HO,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Average Price Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
AOB,NYMEX,1% Fuel Oil Cargoes CIF MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
FOM,NYMEX,1% Fuel Oil Cargoes FOB MED (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
XYT,CME,BTIC on E-mini Consumer Discretionary Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
XPT,CME,BTIC on E-mini Consumer Staples Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
XET,CME,BTIC on E-mini Energy Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
LAP,NYMEX,Alberta Power Pool Peak Calendar-Day Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MMF,NYMEX,Mini 3.5% Fuel Oil Cargoes FOB MED (Platts) Financial Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
-,COMEX,Cleared OTC London Silver Forwards (cash margin),Metals,Precious,false,Sunday – Friday 6:00 p.m. – 5:15 p.m. (5:00 p.m. – 4:15 p.m. Chicago Time/CT) with a 45-minute break,22:15UTC
OE2,CBOT,KC HRW Wheat Options Week 2,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
EMC,NYMEX,ERCOT Daily Load Forecast Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MKW,CBOT,MGEX-KC HRW Wheat Intercommodity Spread Options,Agriculture,Grain And Oilseed,true,CME ClearPort:,ERROR,Index 0 out of bounds for length 0
OML,NYMEX,Mid-Columbia Day-Ahead Off-Peak Calendar-Month 5 MW Future,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PVL,NYMEX,Palo Verde Day-Ahead Peak Calendar-Month 5 MW Future,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OVL,NYMEX,Palo Verde Day-Ahead Off-Peak Calendar-Month 5 MW Future,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MC5,CBOT,Soybean Meal Sep-Dec CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
MBS,NYMEX,Middle East Gasoil FOB Arab Gulf (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
E23,CME,Eurodollar Options 2 Yr MC Week 3,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
