Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
RP,CME,Euro/British Pound Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
QN3,CME,E-mini Nasdaq-100 Weekly Options - Week 3,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
XAF,CME,E-mini Financial Select Sector Futures,Equities,Select Sector Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
AW,CBOT,Bloomberg Commodity Index Futures,Agriculture,Commodity Index,false,MON-FRI 8:15am-1:30pm,ERROR,Index 0 out of bounds for length 0
6R,CME,Russian Ruble Futures,FX,Emerging Market,false,Sundays: 5:00 p.m. - 4:00 p.m. Central Time (CT) next day. Monday - Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
CSC,CME,Cash-Settled Cheese Futures,Agriculture,Dairy,false,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
HRC,COMEX,U.S. Midwest Domestic Hot-Rolled Coil Steel (CRU) Index Futures,Metals,Ferrous,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
RX,CBOT,Dow Jones Real Estate Futures,Equities,US Index,false,CME Globex: Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m,22:00UTC
EV,CME,S&P 500 EOM Options,Equities,US Index,true,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
TTF,NYMEX,Dutch TTF Natural Gas Calendar Month Futures,Energy,Natural Gas,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
ME,NYMEX,Gulf Coast Jet (Platts) Up-Down Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
